"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.696911,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.175396,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.361409,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.364203,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.732957,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.942561,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.904543,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.561262,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.917566,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.696608,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.468554,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.107008,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.062965,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.456223,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.911657,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.679455,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425942,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.898084,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.279185,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.261178,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.19817,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.832186,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.782615,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.85351,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.896636,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.607829,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.597987,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.866482,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.215854,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.462248,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.267457,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.502061,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.038335,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.554303,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.190891,
