"","elw_m","elw_n","elw2s_v0","elw2s_v1","elw2s_h0","elw2s_h1","gph","hou_perron","local_w"
"ABW",1.56136283707269,1.0581388723597,1.3164867458939,1.3164867458939,0.82124592954237,0.82124592954237,1.64343784311182,0.99,1.37733170703898
"AGO",1.33396010509204,1.0899791740264,1.32712708827724,1.32712708827724,1.32712655949641,1.32712655949641,1.42902852841294,0.99,1.3736776752425
"AIA",1.16650047863179,1.02297405962263,1.71819167990079,1.71819167990079,1.71819200222816,1.71819200222816,1.48513985067575,0.99,2.01446238421061
"ALB",1.15414037519779,1.03577178048157,1.20399118842174,1.20399118842174,1.20399060976135,1.20399060976135,1.23840460878754,0.965560183911232,0.62143460365643
"ARE",1.23682541857975,1.09770119794976,-0.485789516789739,-0.485789516789739,0.818442861914821,0.818442861914821,1.12215150680175,0.99,-0.464528853210621
"ARG",1.52014501619701,1.08590153510334,1.72832243157933,1.72832243157933,1.2756738630411,1.2756738630411,1.26612529283447,0.99,1.93684557792196
"ATG",0.791717449190277,0.987179591300216,0.721562930377876,0.721562930377876,0.721539723748285,0.721539723748285,0.557969972490581,0.639728410459929,1.16538558092421
"AUS",0.925925392094211,1.0132698292314,0.248306203621017,0.248306203621017,1.22880095485783,1.22880095485783,0.926363841438148,0.846796004312757,0.248306203621017
"AUT",1.07302787006833,1.01357195916078,1.24803301327086,1.24803301327086,1.2480330247813,1.2480330247813,0.855429447111756,0.942664937395204,1.35269709465258
"BDI",1.19932626649961,1.03778783818642,2.17921512356969,2.17921512356969,1.32979919159779,1.32979919159779,1.29045968897654,0.99,2.17703880263226
"BEL",0.971480291323781,1.03015625979294,1.12056193424771,1.12056193424771,1.12056137332224,1.12056137332224,0.997343756469188,0.896313195859373,1.07654092253245
"BEN",1.08965347298937,1.04122662457887,1.19783794561351,1.19783794561351,1.1978383368557,1.1978383368557,1.13232380135292,0.99,1.02272938419914
"BFA",1.19757352505594,1.04439562910851,1.15406056356508,1.15406056356508,1.30298921498856,1.30298921498856,1.30186269011902,0.99,0.75762675749491
"BGD",1.28437117265247,1.0501688976668,1.26914747514902,1.26914747514902,1.69476269675249,1.69476269675249,1.35663606466014,0.99,0.864519861186843
"BGR",1.37191562416165,0.999819132583283,2.43217847872651,2.43217847872651,1.27973457942693,1.27973457942693,1.36544024288555,0.99,2.43217847872651
"BHR",1.38252875473905,1.06914526772346,0.994428801736978,0.994428801736978,1.27732372886853,1.27732372886853,1.24527567883808,0.99,0.994428801736978
"BHS",1.11054436216093,1.05217573825377,2.25947004934971,2.25947004934971,2.17441210514137,2.17441210514137,0.547080491824931,0.454808437713179,2.25947004934971
"BLZ",1.09680415748887,1.04029381987396,1.91987793212141,1.91987793212141,1.2402322159827,1.2402322159827,1.18104622674606,0.99,1.91987793212141
"BMU",0.738465570023724,0.239683436548279,-0.49992424816297,-0.49992424816297,0.725081161080171,0.725081161080171,0.790066784690116,-0.440580530214397,-0.49992424816297
"BOL",1.05071433347195,1.08374839806415,1.20621750499538,1.20621750499538,1.20621432518806,1.20621432518806,1.50259426498608,0.99,1.22588445299284
"BRA",1.17255613228816,1.06532848615973,1.7199077181612,1.7199077181612,1.71989132017843,1.71989132017843,1.10034597934212,0.99,1.54286075517118
"BRB",1.24426916898291,1.01754955083757,1.72144100764635,1.72144100764635,1.7214185423576,1.7214185423576,0.880762992387753,0.924618338588608,1.71981528693851
"BRN",1.23560272692223,1.03844515074546,1.11267200824274,1.11267200824274,1.11273891889393,1.11273891889393,1.25057022879468,0.99,0.738845840271561
"BTN",1.1646635188264,1.05297529425177,0.780131889165159,0.780131889165159,1.23840872630341,1.23840872630341,1.06562386439856,0.99,0.959487963942535
"BWA",1.17499477904512,1.06456890941192,1.28437149296869,1.28437149296869,1.22903479572092,1.22903479572092,1.1019610889117,0.99,0.69920561104226
"CAF",0.978059535030329,0.0428680803610732,0.738912579567752,0.738912579567752,0.738913662091833,0.738913662091833,1.07271227397775,0.962034930620902,0.568479493203792
"CAN",1.15276237906786,1.03426842372019,0.759073568884166,0.759073568884166,0.759076537472709,0.759076537472709,1.22510995168244,0.99,0.580097039867961
"CHE",1.25424022946647,1.01612025770368,1.30681554836906,1.30681554836906,1.30681419429789,1.30681419429789,1.2143926080503,0.99,1.39215361928681
"CHL",1.33044439145956,1.04913744603055,1.34590768482395,1.34590768482395,1.34589465013382,1.34589465013382,1.20378909900655,0.99,1.48160555893264
"CHN",1.23659799198881,1.14916472986015,0.487314570487817,0.487314570487817,1.85503243057708,1.85503243057708,1.0997973479469,0.99,0.487314570487817
"CIV",1.07111303767827,1.00727806979187,1.27228678002078,1.27228678002078,1.83266945201562,1.83266945201562,0.652471514570137,0.732263775234477,0.716144400355011
"CMR",1.60131421801534,1.0453876391413,2.22382047285977,2.22382047285977,1.74270985421166,1.74270985421166,1.04281288523452,0.99,2.07691264180654
"COD",1.46916354946432,0.132060767667221,1.95034787250369,1.95034787250369,1.54008747595181,1.54008747595181,1.19289059998714,0.99,1.95034787250369
"COG",0.815607892617516,1.00954022854796,0.802236852725952,0.802236852725952,0.802276496748357,0.802276496748357,0.928791437961104,0.780669038956246,0.710618301418514
"COL",1.22090834102586,1.02360501187171,1.74097606623609,1.74097606623609,1.80719538120404,1.80719538120404,0.978271803417679,0.99,1.5758336860739
"COM",1.00930881741361,0.991284582208585,0.894072512412287,0.894072512412287,1.64047613333132,1.64047613333132,1.03815018101643,-0.4999,0.970650968163831
"CPV",1.51936473822734,1.08458521894516,1.30885833845061,1.30885833845061,1.17729115343096,1.17729115343096,1.41703181022793,0.99,0.686541512609178
"CRI",0.885530164145587,0.991603705025634,0.778679480477592,0.778679480477592,1.43475197452189,1.43475197452189,0.786916779710738,0.768052508668023,1.25912267425462
"CYM",1.25403286766251,1.03471354565481,1.25826247399062,1.25826247399062,1.06783487736451,1.06783487736451,1.53675951717066,0.99,1.38650650514845
"CYP",0.785096865543264,1.01123324167799,0.322784195255235,0.322784195255235,0.696051632662351,0.696051632662351,0.778099843195352,0.506523463177481,0.415234691189858
"DEU",0.907958934244419,0.937672785891315,1.28579017950951,1.28579017950951,0.672288164925611,0.672288164925611,0.691216447991401,0.782133088608336,1.27640178825494
"DJI",1.05811449092976,1.01797800373832,0.268035925704016,0.268035925704016,1.20610737345888,1.20610737345888,1.14205832713359,0.988876964031039,0.268035925704016
"DMA",1.3352458009297,0.0184765597787675,1.3548907033878,1.3548907033878,1.90367589551506,1.90367589551506,1.05914929332925,0.99,1.67874660655327
"DNK",1.01314036116981,1.02129696315818,0.24853448376196,0.24853448376196,0.632446839924178,0.632446839924178,1.04857563240728,0.475170325057135,0.24853448376196
"DOM",1.05729499782409,1.03067711893337,0.785413253715756,0.785413253715756,1.22138342962046,1.22138342962046,0.976017499346683,0.92562686932067,0.783920614502526
"DZA",1.00653592368582,1.17411823441451,1.01583114551045,1.01583114551045,1.01583105706435,1.01583105706435,0.634451879818412,0.99,1.59911130518411
"ECU",1.19287517110541,1.02203314648874,1.24416628649529,1.24416628649529,1.24415903485327,1.24415903485327,0.736068637840721,0.99,1.1591458933567
"EGY",1.22546383212336,1.08628765034923,1.95541641969172,1.95541641969172,1.72919340956666,1.72919340956666,1.09577157259348,0.99,1.95541641969172
"ESP",1.19597744309523,1.04282801488196,1.81500273144124,1.81500273144124,0.813144708095904,0.813144708095904,1.0125346050509,0.99,1.81500273144124
"ETH",1.49670756009824,1.01291101087398,1.72800885565809,1.72800885565809,1.72800899908277,1.72800899908277,0.919585438141664,0.99,1.82377459961419
"FIN",0.770138284226349,1.01682463753772,0.691251967451343,0.691251967451343,0.691266280482244,0.691266280482244,0.886488050229898,0.737428573700365,0.730777181300688
"FJI",1.05424230148084,1.00291748629915,1.20475039521665,1.20475039521665,1.20474918103321,1.20474918103321,1.49660537511755,0.99,1.23968909875633
