date,ABW,AGO,AIA,ALB,ARE,ARG,ATG,AUS,AUT,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,ETH,FIN,FJI,FRA,GAB,GBR,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LUX,MAC,MAR,MDG,MDV,MEX,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RWA,SAU,SDN,SEN,SGP,SLE,SLV,STP,SUR,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TTO,TUN,TUR,TWN,TZA,UGA,URY,VCT,VEN,VGB,VNM,ZAF,ZMB,ZWE
1950,,,,,,-3.928352462665469,,-3.0915850417032438,-4.125645125024201,,-3.604994606811008,,,,,,,,,-5.883810577207257,-3.339539555526816,,,,,,-2.6856416519545085,-3.544564033000457,,,,,-4.525964374937537,,-4.1099056548686015,,,-6.633672654726405,,-7.353644084926665,-1.9607976839026087,,,-4.043489887251525,,,-5.37617721589837,-5.097262879225536,-3.1556970915782756,-5.63978024789891,-4.5719041396453335,,-2.0500310279616993,,-1.5759969170302313,,,,,,,,-5.830694156377993,,-6.637708307629667,,,,-1.9865156309827672,-5.06053251286783,,,-7.581275854035729,-5.85639406918326,-2.470289318569977,,,-2.3639205553394866,-5.502690897828531,,,,,,,,,-4.7845931295767645,,-6.399201275938669,,-5.260992646073813,,,-2.8899214580993515,,,,,,,,-6.93092763822629,,,,,-3.2916674878132532,-6.292055094581116,-3.356254039976319,-4.402248351126024,,-4.713130213695065,,-3.937384348458494,-7.162529129572155,-4.959252614522068,-4.449321582953591,,-4.657451553797127,,,,,,,,,,,-6.567656885479524,,,-3.5647383594714697,,,,,,,-4.652814984807252,-6.53079781300478,,-3.5692285550002847,,,-6.237852415821331,-5.1706502623928365,,-4.347936762290704,,,-3.463517553673432,,
1951,,,,,,-3.975921786575359,,-3.195103657982701,-4.148245448948067,,-3.6357716109100604,,,,,,,,,-5.875563797596289,-3.381900568242928,,,,,,-2.7245175768068695,-3.5342297835884082,-4.520697457397048,,,,-4.442671654678142,,-4.1662659053566635,,,-6.668845142896773,,-7.371228945265291,-1.931177230403927,,,-4.133094302620243,-6.1028905994288465,,-5.413990943611074,-5.121873577405065,-3.0636297094978087,-5.58327955885137,-4.525220910980819,,-2.0690127422474784,,-1.6162597022225356,,,,,,-4.559585921657165,,-5.884216194359816,,-6.678925123899576,,,,-2.0179868395845837,-5.120416481112404,,,-7.669313243075888,-5.634008830866614,-2.45632251858763,,,-2.335061437127573,-5.400202129365274,,,,,,,,,-4.775271599047562,,-6.413238658324902,,-5.3229643660701065,,,-2.8825457823610368,,,,,,,,-6.96623033471605,,,,,-3.2895766018346375,-6.230367896881869,-3.3813446337077746,-4.422543639556222,,-4.869371255573963,,-3.990445082248238,-7.245119595989709,-4.956355566473304,-4.493967717444946,,-4.620373675334166,-6.79959553805038,,,,,,,,,,-6.639009083411064,,,-3.6066067812593854,,,,,,,-4.758287869834906,-6.502383712479734,,-3.429113434982055,-5.286520698516261,,-6.089227709294208,-5.079066655812397,,-4.320195343121092,,,-3.494462974530416,,
1952,,,,,,-4.100664695269563,,-3.2469034078451546,-4.155276031582208,,-3.646721867819787,,,,,,,,,-5.914064278501067,-3.3138371512212874,,,,,,-2.6750169401927355,-3.5664150511335357,-4.474036378985861,-1.4023246474103086,,,-4.405801874141172,,-4.134457215763323,,,-6.577424614761302,,-7.301880258337374,-1.8761930717116915,,,-4.145624296684364,-6.086684351858775,,-5.358733697173269,-5.1931510025790875,-3.049838155268178,-5.587065477022454,-4.534947077830749,,-2.075012694372873,,-1.6532324821633821,,,,,,-4.616178482887406,,-5.8891380574375685,,-6.707646091257553,,,,-2.0204133913573123,-5.116150474975196,,,-7.712956237528236,-5.700636345715527,-2.4584358906907458,,,-2.273351487971775,-5.512836808315301,,,,,,,,,-4.85181381289677,,-6.350644423202597,,-5.28711346754527,,,-2.8737657919679656,,,,,,,,-6.970080527032612,,,,,-3.226885392018561,-6.119176997076295,-3.391108538216857,-4.407075124639666,,-4.855589510941137,,-4.040259383199473,-7.2048482230507,-4.933307261867903,-4.437558050193768,,-4.613761401322449,-6.8560592659861355,,,,,,,,,,-6.597518405084083,,,-3.630658186560515,,,,,,,-4.793081460222586,-6.489058794532536,,-3.350163217425388,-5.2117855519199665,,-6.179290767242545,-5.1628264431340245,,-4.218549289983995,,,-3.5988560119153696,,
1953,,,,,,-4.081340820897447,,-3.1695016079167644,-4.151632246840165,,-3.6607218921756903,,,,,,,,,-6.149918388158039,-3.329366385238039,,,,,,-2.674306105763865,-3.5725443163106814,-4.494587478874443,-1.3272974687021186,,,-4.3248099422453805,,-4.097047978133048,,,-6.444252845975631,,-7.227487414032177,-1.8399657157350102,,,-4.127474695362922,-6.126628914398671,,-5.341942932338371,-5.2383670779754805,-3.131279401208058,-5.563424015033032,-4.5915135051883365,,-2.0816294996137827,,-1.6478572104596019,,,,,,-4.529578478136948,,-5.900390021289965,,-6.682683384037762,,,,-2.012801802542402,-5.138408545270739,,,-7.613599814193591,-5.75527522975589,-2.4331746022141285,-6.364995327710009,,-2.2760898424963933,-5.608040081225724,,,-4.842702891040613,,,,,,-4.87729771341861,,-6.497033857487457,,-5.310048485624588,,,-2.93194322686203,,,,,,,,-7.024643839335507,,,,,-3.2982570458407547,-6.110264020702161,-3.356997144088604,-4.403307302016611,,-4.867290232107976,,-4.04220422438272,-7.177269429619336,-4.926875644189147,-4.371845162542442,,-4.608880273126745,-6.949375905681616,,,,,,,,,,-6.571738827494656,,,-3.639778871867806,,,,,,,-4.917930076502541,-6.500142059289329,,-3.283147321219584,-5.15717119092607,,-6.41677558327628,-5.162338588472094,,-4.235931095516284,,,-3.5430368555198317,,
1954,,,,,,-4.0328965296970445,,-3.0927083675594336,-4.07780345241798,,-3.611599519347104,,,,,,,,,-6.104796862641688,-3.243126519740718,,,,,,-2.6761407875215113,-3.503703551428684,-4.425211945956814,-1.4129345885066336,,,-4.286905378332452,,-4.002244656044002,,,-6.4002832979430995,,-7.100549962344253,-1.7522411928003923,,,-4.091353768297198,-6.0303168131952365,,-5.229706135750208,-5.199548852462767,-3.003801082253508,-5.551767884019958,-4.481542214950615,,-2.022063243993749,,-1.6064856567390162,,,,,,-4.509441965255171,,-5.878814457816418,,-6.753843841635572,,,,-1.9663145503169552,-5.1228902994824885,,,-7.510156152737073,-5.575067018519228,-2.386529097568216,-6.253632898563815,-7.375574166262393,-2.2200376351008106,-5.508664768654793,,,-4.804398532402001,,,,,,-4.806075008129296,,-6.523178763175048,,-5.253903342677422,,,-2.823925427359555,,-9.253743141854537,,,,,,-7.0347995821902565,-7.062897461097809,,,,-3.2040563060322658,-6.024276523941767,-3.2954458160129967,-4.3735838948676005,,-4.765693383103661,,-4.029836544325475,-7.115646819747933,-4.861197264488792,-4.296349606728938,,-4.564105484172819,-6.861153616754271,,,,,,,,,,-6.562011783303928,,,-3.5843368222061844,,,,,,,-4.827679657091059,-6.437632640832907,,-3.368784959463042,-5.0649810289774795,,-6.325887159625973,-5.059765833700643,,-4.1308822341718106,,,-3.4541542462851496,,-6.264768216811113
1955,,,,,,-4.036375200269418,,-3.117303344816049,-4.057531319030305,,-3.642100657239652,,,,,,,,,-6.090533777714869,-3.24384306143636,,,,,,-2.6648220618487475,-3.506049951542577,-4.521663989110772,-1.3775484451697846,,,-4.294462081985804,,-4.038580188708487,,,-6.387408138920717,,-7.141222245892998,-1.6930573057888694,,,-4.170337119262308,-6.094721173476389,,-5.2610818381156665,-5.235382224267893,-3.0244130473205413,-5.603405334815788,-4.476377948255301,,-2.042482093836373,,-1.639626503755446,-4.887114005990972,,,,,-4.514506978871545,,-5.942846487430723,,-6.809020887545126,,,,-2.016697890825796,-5.172375613446709,-4.083609932109017,,-7.459753893568122,-5.520382694895222,-2.3928760646019764,-6.232991537810369,-7.63756853004298,-2.216268557186554,-5.523531018063762,,,-4.806104439830092,,,,,,-4.7998676893818075,,-6.530419345713007,,-5.3394952174678085,,,-2.817977957734051,,-9.299556325785556,,,,,,-7.0592837296323845,-7.072996422646508,-5.204288472531701,,,-3.191769878309156,-6.024887010185685,-3.287353880586087,-4.414880953789666,,-4.804022546903035,,-4.117592267857219,-7.118351178011423,-4.882400383845635,-4.290809997088257,,-4.602286824948589,-6.862282913913822,,,,,,,,,,-6.586317281326664,,,-3.6299634193202515,,,,,,,-4.977951814080793,-6.382138787001304,,-3.3539737790581654,-5.065262842803001,,-6.390359337138124,-5.103909428563382,,-4.144008809377855,,,-3.4878165254666325,-6.714724677553313,-6.305501019831439
1956,,,,,,-4.033051471919613,,-3.1263955008014896,-4.0102142995517,,-3.6346959717407525,,,,,,,,,-6.1693263002000585,-3.231044511975803,,,,,,-2.6071922415034567,-3.4592315656515638,-4.559504355161216,-1.3533839340280878,,,-4.285004794970185,,-4.038450281077754,,,-6.437007519764842,,-7.058805211398257,-1.6418038056387925,,,-4.171087072443614,-6.044587293857436,,-5.254793749516757,-5.2224547487075,-2.975981097162528,-5.578727900614762,-4.480972236810503,,-2.0154490918220134,,-1.6408433563331624,-4.880544846089673,,,,,-4.4504071780703125,,-5.895527335462734,,-6.707650007046986,,,,-1.9949465681597687,-5.208065905697161,-4.017827185977573,,-7.481962915677826,-5.444278874266804,-2.377984661467897,-6.149492402662201,-7.291744059342359,-2.172061046768235,-5.509995603741768,,,-4.804933295094374,,,,,,-4.893607101089517,,-6.454734358896271,,-5.338239034019578,,,-2.7725331236498274,,-9.038233228670627,,,,,,-7.047711550903385,-7.02598302028619,-5.162220409669178,,,-3.242708158659923,-6.050680911290508,-3.2708836413095437,-4.3996700098579975,,-4.804177048572445,,-4.0724540055458505,-7.100588435972551,-4.869876322466222,-4.276560199017547,,-4.580536076731013,-6.856462130681415,,,,,,,,,,-6.5483867204403445,,,-3.6202000850942238,,,,,,,-4.951176896155669,-6.293658115230727,,-3.368305372695911,-5.0327162494925375,,-6.399737656936706,-5.127752263166496,,-4.090498303067745,,,-3.4494320433242773,-6.616050118628973,-6.237060197418522
1957,,,,,,-4.003041896251094,,-3.1408499374524386,-3.980009446637858,,-3.639321458920108,,,,,,,,,-6.204401713939587,-3.1661882442971088,,,,,,-2.6036204125698656,-3.4437119986012164,-4.482009843301022,-1.3467595282690894,,,-4.317585027178197,,-4.061832967274942,,,-6.388217222077099,,-7.068677909600038,-1.6081393347698008,,,-4.141755360622884,-5.997529272595056,,-5.244092377311006,-5.202550977230647,-2.9547861416966423,-5.607507195933792,-4.493635092224926,,-1.9817841183579823,,-1.6420263782296907,-4.929385253616768,,,,,-4.395950278096123,,-5.864103106252264,,-6.707385284744291,,,,-2.0117435153341425,-5.23482977016887,-3.885270089310726,,-7.4979049346562965,-5.3892025366772405,-2.357382347630981,-6.045942579624295,-7.272963616357877,-2.1238526106810074,-5.48492311323438,,,-4.736763374382196,,,,,,-4.875676268074052,,-6.439638969841905,,-5.369545662774565,,,-2.7212189999598184,,-9.100380761517975,,,,,,-7.023499921053853,-6.968315783642347,-5.160052887308151,,,-3.210147459152669,-5.990939477120532,-3.2555541283868408,-4.3744007463165,,-4.781904756254276,,-4.09162655454371,-7.021321198435406,-4.813469023332882,-4.234195016303849,,-4.557414272051215,-6.867736419327251,,,,,,,,,,-6.518553835263983,,,-3.6224012434691257,,,,,,,-4.845623127440751,-6.212404477246558,,-3.1902849786500145,-4.983193723523664,,-6.271518263218111,-5.117078488213242,,-4.023007313145703,,,-3.4123795144979834,-6.503864042796293,-6.16026660363517
1958,,,,,,-3.9191416938787356,,-3.051649383262653,-3.9297469534213842,,-3.6425098267931766,,,,,,,,,-6.231137134756107,-3.100025380150516,,,,,,-2.5699649631831125,-3.4691578823094407,-4.432174662994521,-1.3542055637848502,,,-4.312302980077378,,-4.05274439857255,,,-6.261049944187981,,-7.19430321785699,-1.5651603275315527,,,-4.113497518068234,-6.004853748814318,,-5.215857056654269,-5.165978895406379,-2.902315868159082,-5.5880192349996225,-4.481453846684516,,-1.93976828144622,,-1.6274381221102523,-4.860907267796373,,,,,-4.335890976832253,,-5.80191539225345,,-6.655421139450166,,,,-1.939986932370891,-5.2425443288791485,-3.7458592430941025,,-7.388809166609429,-5.309180545545074,-2.303602864507921,-6.013774093908557,-7.135358940174707,-2.043234353434819,-5.46560215261494,,,-4.691406822267652,,,,,,-4.8174980069171465,,-6.462557579536936,,-5.2927836452180195,,,-2.662518868726874,,-8.89207351597625,,,,,,-7.038225368344571,-6.939931486339528,-5.150203852107895,,,-3.1065473433236424,-5.973070341373843,-3.2488880959081,-4.370736864985696,,-4.735628717155063,,-4.078124651522202,-6.996941625996385,-4.815066358037406,-4.1867360988418465,,-4.5379698333582645,-6.796460988957628,,,,,,,,,,-6.47106794522959,,,-3.587439703374354,,,,,,,-4.806313988584167,-6.096542031998769,,-3.077805343075527,-4.9061513326796895,,-6.301076417791515,-5.161602426184224,,-3.959108001241466,,,-3.3999435646748797,-6.515233737495363,-6.14933961724925
1959,,,,,,-4.049929633617451,,-3.0594419741232723,-3.967451658999048,,-3.6835317667623997,-6.830382640753914,-6.7247012577826055,-3.8019008284755706,,,,,,-6.2381144073263375,-3.1247768284528608,,,,,,-2.602109415528167,-3.4671472104648444,-4.511901656177363,-1.5038041442761223,,,-4.385139025548259,,-4.066086839167481,,,-6.324268636513821,,-7.205631404056637,-1.5540509215395186,,,-4.1025872265362135,-5.962651922003792,,-5.233327721147207,-5.148723686386351,-2.9985439162125065,-5.59558341244445,-4.478379361791076,,-1.9835643432095313,,-1.663999992011087,-4.780348209879309,-5.80187374026737,,,,-4.367216515878717,,-5.815563194920735,,-6.692761032369004,,,,-1.9948205189640031,-5.271461236557851,-3.6951083594995158,,-7.434526012404405,-5.2631431955204455,-2.304785027153674,-6.055548847280203,-7.063762066952284,-2.0237290156661274,-5.564494892573116,,,-4.744741657769289,,,,,,-4.837299537099755,,-6.5338235339816,,-5.3182966720588745,,,-2.7074129354561354,,-8.8609102234449,,,,,,-7.069863004608941,-7.041881112861785,-5.152993877124828,,,-3.0715157568030254,-6.025824741300411,-3.26396742339794,-4.416935115023689,,-4.759958369195177,,-4.074446544322042,-7.005756989800066,-4.865246362492986,-4.159555391310157,,-4.553992693828336,-6.858931590828886,,,,,,,,,,-6.505994655530829,,,-3.602208187355263,,,,,,,-4.774717075700909,-6.087119815739525,,-3.1726675186490088,-4.8922530493227825,,-6.3218284649516825,-5.263567729680853,,-3.9824009289372118,,,-3.45805798879001,-6.461412768780246,-6.096038958865988
